EMAIL,STORE,AREA,GENRE,URL
hello@dogidol.net,DOGアイドル,京都,ペット保育園/ペットホテル/トリミング,https://www.dogidol.net/
info@laster-hill.com,Pet hotel Laster hill,山口,ペットホテル,https://laster-hill.com/
info@petcare-jewel.com,ペットステーション ジュエル,徳島,犬の保育園/ペットホテル/介護,https://petcare-jewel.com/
seiwasoh0022@outlook.jp,SEIWASOHドッグスクール,高知,ドッグスクール/犬の保育園/ペットホテル,https://www.seiwasoh.com/
toiawase@nyankonote.com,にゃんこの手,宮崎,ペットホテル(ケージレス),https://nyankonote.com/
papadegigi@snow.ocn.ne.jp,PAPA de GIGI(盛岡菜園店),岩手,トリミングペットサロン,https://www.papadegigi.com/
info@t-bell.jp,ティンカーベル.JP,福島,トリミング/ペットホテル/老犬ホーム,https://www.t-bell.jp/
cherish-dog@outlook.jp,犬の美容室 チェリッシュ(CHERISH),富山,トリミング/ドッグサロン(ホテル併設),https://www.cherish-dog.com/
reserve@pet-bibi.com,ペットの美容室 BiBi,広島,ドッグサロン/トリミング,https://pet-bibi.com/
wanwan@dog-and-sea.com,ドッグアンドシー,高知,ドッグラン&トリミングサロン/ホテル,https://dog-and-sea.com/
